Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 34.57      0.93     0.93                             putpixel(SDL_Surface*, int, int, unsigned int)
 18.96      1.44     0.51                             video::pointb(int, int, unsigned char)
 17.47      1.91     0.47                             query_palette_reg(unsigned char, int*, int*, int*)
 11.52      2.22     0.31                             video::FadeBetween24(SDL_Surface*, unsigned char const*, unsigned char const*, int)
  4.83      2.35     0.13                             video::putbuffer(int, int, int, int, int, int, int, int, unsigned char*)
  2.60      2.42     0.07                             cycle_palette(unsigned char*, short, short, short)
  2.60      2.49     0.07                             video::hor_line(int, int, int, unsigned char, int)
  1.12      2.52     0.03                             video::walkputbuffertext(int, int, int, int, int, int, int, int, unsigned char*, unsigned char)
  0.74      2.54     0.02                             get_input_events(bool)
  0.74      2.56     0.02                             video::point(int, int, unsigned char)
  0.37      2.57     0.01                             blend_pixel(SDL_Surface*, int, int, unsigned int, unsigned char)
  0.37      2.58     0.01                             query_mouse()
  0.37      2.59     0.01                             read_pixie_file(char const*)
  0.37      2.60     0.01                             leftmouse(button*)
  0.37      2.61     0.01                             text::write_y(short, char const*, viewscreen*)
  0.37      2.62     0.01                             text::write_xy(short, short, char const*, unsigned char, short)
  0.37      2.63     0.01                             video::putdatatext(int, int, int, int, unsigned char*, unsigned char)
  0.37      2.64     0.01                             vbutton::vdisplay()
  0.37      2.65     0.01                             smoother::query_x_y(int, int)
  0.37      2.66     0.01                             std::_Rb_tree_node<std::pair<std::pair<short, short> const, std::__cxx11::list<walker*, std::allocator<walker*> > > >::_M_valptr() const
  0.37      2.67     0.01                             std::vector<micropather::NodeCost, std::allocator<micropather::NodeCost> >::operator[](unsigned long)
  0.37      2.68     0.01                             crc32_little
  0.37      2.69     0.01                             inflate_fast
  0.00      2.69     0.00                             DIR_dirClose
  0.00      2.69     0.00                             DIR_enumerateFiles
  0.00      2.69     0.00                             DIR_eof
  0.00      2.69     0.00                             DIR_exists
  0.00      2.69     0.00                             DIR_fileClose
  0.00      2.69     0.00                             DIR_fileLength
  0.00      2.69     0.00                             DIR_getLastModTime
  0.00      2.69     0.00                             DIR_isArchive
  0.00      2.69     0.00                             DIR_isDirectory
  0.00      2.69     0.00                             DIR_isSymLink
  0.00      2.69     0.00                             DIR_mkdir
  0.00      2.69     0.00                             DIR_openAppend
  0.00      2.69     0.00                             DIR_openArchive
  0.00      2.69     0.00                             DIR_openRead
  0.00      2.69     0.00                             DIR_openWrite
  0.00      2.69     0.00                             DIR_read
  0.00      2.69     0.00                             DIR_remove
  0.00      2.69     0.00                             DIR_seek
  0.00      2.69     0.00                             DIR_tell
  0.00      2.69     0.00                             DIR_write
  0.00      2.69     0.00                             PHYSFSRWOPS_makeRWops
  0.00      2.69     0.00                             PHYSFSRWOPS_openAppend
  0.00      2.69     0.00                             PHYSFSRWOPS_openRead
  0.00      2.69     0.00                             PHYSFSRWOPS_openWrite
  0.00      2.69     0.00                             PHYSFS_Swap16
  0.00      2.69     0.00                             PHYSFS_Swap32
  0.00      2.69     0.00                             PHYSFS_Swap64
  0.00      2.69     0.00                             PHYSFS_addToSearchPath
  0.00      2.69     0.00                             PHYSFS_close
  0.00      2.69     0.00                             PHYSFS_deinit
  0.00      2.69     0.00                             PHYSFS_delete
  0.00      2.69     0.00                             PHYSFS_enumerateFiles
  0.00      2.69     0.00                             PHYSFS_enumerateFilesCallback
  0.00      2.69     0.00                             PHYSFS_eof
  0.00      2.69     0.00                             PHYSFS_exists
